Description model^Car make^Sub category^category path^SKU-CAR^SKU-MODEL^Roof bars mounting^body type^^Bol car models^Variants
RDX I^Acura^RDX I | 2007-2012^Acura[RDX I | 2007-2012^ACU^RX^^suv^^^
RDX II^Acura^RDX II | 2012-2018^Acura[RDX II | 2012-2018^ACU^RX^^suv^^^
RDX III^Acura^RDX III | 2018-present^Acura[RDX III | 2018-present^ACU^RX^^suv^^^
TSX II Sport Wagon^Acura^TSX II | 2008-2014^Acura[TSX II | 2008-2014^ACU^TX^^wagon^^^
V^Aion^V | 2020-2024^Aion[V | 2020-2024^AIO^AV^^suv^^^
V II^Aion^V II | 2024-present^Aion[V II | 2024-present^AIO^AV^^suv^^Aiways U5^
U5^Aiways^U5 | 2019-present^Aiways[U5 | 2019-present^AIW^U5^For models without roof rails^suv^^Aiways U5^
U6^Aiways^U6 | 2021-present^Aiways[U6 | 2021-present^AIW^U6^For models without roof rails^suv^^^
145^Alfa Romeo^145 | 1994-2000^Alfa Romeo[145 | 1994-2000^ALF^45^^3d^^Alfa Romeo 145^
146^Alfa Romeo^146 | 1994-2001^Alfa Romeo[146 | 1994-2001^ALF^46^^5d^^Alfa Romeo 146^
147^Alfa Romeo^147 | 2000-2010^Alfa Romeo[147 | 2000-2010^ALF^47^^3d & 5d^^Alfa Romeo 147^
155^Alfa Romeo^155 | 1992-1997^Alfa Romeo[155 | 1992-1997^ALF^55^^4d^^Alfa Romeo 155^
156^Alfa Romeo^156 | 1997-2007^Alfa Romeo[156 | 1997-2007^ALF^56^For models without roof rails^4d^^Alfa Romeo 156^
159^Alfa Romeo^159 | 2005-2011^Alfa Romeo[159 | 2005-2011^ALF^59^For models without roof rails^4d & wagon^^Alfa Romeo 159^
164^Alfa Romeo^164 | 1987-1998^Alfa Romeo[164 | 1987-1998^ALF^64^^4d^^Alfa Romeo 164^
166^Alfa Romeo^166 | 1998-2007^Alfa Romeo[166 | 1998-2007^ALF^66^^4d^^Alfa Romeo 166^
156 GTA^Alfa Romeo^156 | 1997-2007^Alfa Romeo[156 | 1997-2007^ALF^56^For models without roof rails^4d^^Alfa Romeo 156^
156 GTA Sportwagon^Alfa Romeo^156 | 1997-2007^Alfa Romeo[156 | 1997-2007^ALF^56^For models without roof rails^wagon^^Alfa Romeo 156^
156 Sportwagon^Alfa Romeo^156 | 1997-2007^Alfa Romeo[156 | 1997-2007^ALF^56^For models without roof rails^wagon^^Alfa Romeo 156^
156 Sportwagon - Crosswagon^Alfa Romeo^156 | 1997-2007^Alfa Romeo[156 | 1997-2007^ALF^56^For models without roof rails^wagon^^Alfa Romeo 156^
159 Sportwagon^Alfa Romeo^159 | 2005-2011^Alfa Romeo[159 | 2005-2011^ALF^59^For models without roof rails^wagon^^Alfa Romeo 156^
33 I^Alfa Romeo^33 I | 1983-1989^Alfa Romeo[33 I | 1983-1989^ALF^33^^5d^^Alfa Romeo 33^
33 II^Alfa Romeo^33 II | 1990-1995^Alfa Romeo[33 II | 1990-1995^ALF^33^^5d^^Alfa Romeo 33^
75 (Tipo 161, 162B)^Alfa Romeo^75 | 1985-1992^Alfa Romeo[75 | 1985-1992^ALF^75^^4d^^Alfa Romeo 75^
8C Competizione^Alfa Romeo^8C | 2007-2010^Alfa Romeo[8C | 2007-2010^ALF^8C^^coupé^^Alfa Romeo 8C^
8C Spider^Alfa Romeo^8C | 2007-2010^Alfa Romeo[8C | 2007-2010^ALF^8C^^cabriolet^^Alfa Romeo 8C^
Brera^Alfa Romeo^Brera | 2005-2010^Alfa Romeo[Brera | 2005-2010^ALF^BR^^cabriolet^^Alfa Romeo Brera^
Giulia (952)^Alfa Romeo^Giulia (952) | 2016-present^Alfa Romeo[Giulia (952) | 2016-present^ALF^GI^^4d^^Alfa Romeo Giulia^
Giulia Quadrifoglio (952)^Alfa Romeo^Giulia (952) | 2016-present^Alfa Romeo[Giulia (952) | 2016-present^ALF^GI^^4d^^Alfa Romeo Giulia^
Giulietta^Alfa Romeo^Giulietta | 2010-2020^Alfa Romeo[Giulietta | 2010-2020^ALF^GA^^3d & 5d^^Alfa Romeo Giulietta^
GT^Alfa Romeo^GT | 2004-2010^Alfa Romeo[GT | 2004-2010^ALF^GT^^cabriolet^^Alfa Romeo GT^
GTV - Spider^Alfa Romeo^GTV - Spider | 1995-2006^Alfa Romeo[GTV - Spider | 1995-2006^ALF^GV^^coupé & cabriolet^^Alfa Romeo GT^
Junior^Alfa Romeo^Junior | 2024-present^Alfa Romeo[Junior | 2024-present^ALF^JU^^suv^^Alfa Romeo Junior^
Junior Ibrida^Alfa Romeo^Junior | 2024-present^Alfa Romeo[Junior | 2024-present^ALF^JU^^suv^^Alfa Romeo Junior^
Junior Elettrica^Alfa Romeo^Junior | 2024-present^Alfa Romeo[Junior | 2024-present^ALF^JU^^suv^^Alfa Romeo Junior^
Junior Elettrica Veloce^Alfa Romeo^Junior | 2024-present^Alfa Romeo[Junior | 2024-present^ALF^JU^^suv^^Alfa Romeo Junior^
Junior Veloce^Alfa Romeo^Junior | 2024-present^Alfa Romeo[Junior | 2024-present^ALF^JU^^suv^^Alfa Romeo Junior^
Mito^Alfa Romeo^Mito | 2008-2018^Alfa Romeo[Mito | 2008-2018^ALF^MI^^3d^^Alfa Romeo MiTo^
MiTo TCT^Alfa Romeo^Mito | 2008-2018^Alfa Romeo[Mito | 2008-2018^ALF^MI^^3d^^Alfa Romeo MiTo^
Spider (105 - 115)^Alfa Romeo^Spider (105 - 115) | 1966-1993^Alfa Romeo[Spider (105 - 115) | 1966-1993^ALF^SP^^cabriolet^^Alfa Romeo Spider^
Spider (916)^Alfa Romeo^Spider (916) | 1995-2006^Alfa Romeo[Spider (916) | 1995-2006^ALF^SP^^cabriolet^^Alfa Romeo Spider^
Stelvio (949)^Alfa Romeo^Stelvio (949) | 2017-present^Alfa Romeo[Stelvio (949) | 2017-present^ALF^ST^For models without roof rails^suv^^Alfa Romeo Stelvio^
Tonale (965)^Alfa Romeo^Tonale (965) | 2022-present^Alfa Romeo[Tonale (965) | 2022-present^ALF^TO^^suv^^Alfa Romeo Tonale^
A290^Alpine^A290 | 2024-present^Alpine[A290 | 2024-present^ALP^A29^^5d^^Renault^
DB7 Volante^Aston Martin^DB7 | 1994-2004^Aston Martin[DB7 | 1994-2004^AST^DB7^^cabriolet^^^
DB9 Volante^Aston Martin^DB9 | 2004-2016^Aston Martin[DB9 | 2004-2016^AST^DB9^^cabriolet^^^
DB11 Volante^Aston Martin^DB11 | 2016-present^Aston Martin[DB11 | 2016-present^AST^DB11^^cabriolet^^^
DB12^Aston Martin^DB12 | 2023-present^Aston Martin[DB12 | 2023-present^AST^DB12^^cabriolet^^^
DBS Volante^Aston Martin^DBS | 2009-2012^Aston Martin[DBS | 2009-2012^AST^DBS^^cabriolet^^^
Vanquish Volante^Aston Martin^Vanquish | 2012-2018^Aston Martin[Vanquish | 2012-2018^AST^VA^^cabriolet^^Aston Martin Vanquish^
Virage Volante^Aston Martin^Virage | 2011-2012^Aston Martin[Virage | 2011-2012^AST^VI^^cabriolet^^^
100 (C3)^Audi^100 (C3 - C4) | 1982-1994^Audi[100 (C3 - C4) | 1982-1994^AUD^10^^4d & wagon^^Audi 100^
